source ip,destination ip,source port ,destination port,length,class
1.003728085,1.003728085,6.343412005,6.324763365,1.003728085,1
0.999999716,0.999999716,6.822870666,6.814659602,0.999999716,1
0.999999254,0.999999254,7.563050156,7.548247812,0.999999254,1
0.999999996,0.999999996,7.353831149,7.352772783,0.999999996,1
0.999999691,0.999999691,7.523466723,7.513994126,0.999999691,1
0.999999513,0.999999513,7.63044548,7.618371092,0.999999513,1
0.999999925,0.999999925,7.593247498,7.588525866,0.999999925,1
0.999999942,0.999999942,7.557745862,7.553634309,0.999999942,1
0.999999402,0.999999402,6.055587408,6.045074333,0.999999402,1
0.999962485,0.999962485,5.890380629,5.810021574,0.999962485,1
0.999982835,0.999982835,4.359541637,4.319921298,0.999982835,1
0.999986046,0.999986046,6.16993553,6.118339858,0.999986046,1
0.999999732,0.999999732,5.842692643,5.835907228,0.999999732,1
0.999997792,0.999997792,7.442083848,7.417060439,0.999997792,1
1.005575733,1.005575733,6.03215813,5.970597084,1.005575733,1
1.000821832,1.000821832,7.562227882,7.549892664,1.000821832,1
1.000754345,1.000754345,7.627648511,7.62236746,1.000754345,1
0.999999991,0.999999991,7.556471705,7.554827,0.999999991,1
0.999999948,0.999999948,7.592815319,7.588880435,0.999999948,1
0.999997126,0.999997126,4.993724535,4.974939384,0.999997126,1
0.999856899,0.999856899,5.497506616,5.352537121,0.999856899,1
0.999999335,0.999999335,7.563002555,7.549028965,0.999999335,1
0.999999898,0.999999898,7.482351278,7.476926125,0.999999898,1
0.999999614,0.999999614,7.443637627,7.433166677,0.999999614,1
0.999224427,0.999224427,5.420710269,5.094213996,0.999224427,1
0.999988731,0.999988731,5.673695542,5.631214858,0.999988731,1
0.999988731,0.999988731,5.673695542,5.631214858,0.999988731,1
0.999998419,0.999998419,7.440063473,7.418887256,0.999998419,1
7.536664749,7.180627504,7.740611912,6.994501794,1.341424562,1
2.968918564,3.159910956,3.345851989,3.045841641,1.882246305,1
7.786459851,6.96096291,7.932056,6.840930655,1.244708311,1
8.047026981,6.690028456,8.194764903,6.591125332,1.255576198,1
7.872469467,6.853268376,8.024654126,6.729739342,1.25951227,1
5.234636615,5.201289887,5.405652117,5.061844142,1.280870335,1
7.717876267,7.086259129,7.984064073,6.862410463,1.439858487,1
1.584962501,0.918295834,1.584962501,0.918295834,0.918295834,1
5.327191134,4.811038301,5.475651847,4.706353811,1.272288114,1
7.967001077,6.762306802,8.131104277,6.632879813,1.276345243,1
1.921928095,1.370950595,1.921928095,1.370950595,0.970950595,1
7.868726534,6.859934546,8.040133889,6.72700131,1.2849854,1
1.584962501,0.918295834,1.584962501,0.918295834,0.918295834,1
7.747057835,6.920261593,7.993290462,6.716938485,1.403084981,1
7.52484714,7.116181784,7.779115313,6.901550529,1.424584603,1
7.906420229,6.816989908,8.058230445,6.720139787,1.26363006,1
7.635463929,7.161172522,7.825260831,7.005062693,1.318615599,1
5.518184137,5.337467724,5.840914398,5.091744894,1.510840547,1
7.621953439,6.913209215,7.855862831,6.73488085,1.390472779,1
7.895792741,6.904360874,8.073633066,6.760689506,1.302318363,1
2.128085279,1.664497779,2.128085279,1.664497779,0.985228136,1
8.02654154,6.703154448,8.194868052,6.574546737,1.287089647,1
2.617492461,1.947338796,2.617492461,1.947338796,0.979868757,1
7.284667334,7.014042786,7.656634001,6.697738281,1.593206517,1
7.84817173,6.859555704,8.069480466,6.668074666,1.381076134,1
7.793302091,7.003099356,8.001094506,6.81278699,1.348830594,1
7.767427338,6.973878383,8.020958687,6.756187179,1.421139362,1
7.672731849,6.993631835,7.909389775,6.786528472,1.395371409,1
5.492158279,5.346144285,5.658333643,5.226744139,1.268591827,1
4.379380672,4.338928315,4.500233819,4.216587511,1.202537514,1
